0,0.1069
1,0.1138
2,0.1039
3,0.0916
4,0.0703
5,0.0498
6,0.0425
7,0.0503
8,0.0588
9,0.0503
10,0.0588
11,0.1145
12,0.1266
13,0.1447
14,0.1643
15,0.2142
16,0.2867
17,0.313
18,0.3306
19,0.3334
20,0.3197
21,0.3238
22,0.317
23,0.2638
24,0.2021
25,0.175
26,0.2221
27,0.2971
28,0.4041
29,0.5178
30,0.6182
31,0.6932
32,0.6619
33,0.4361
34,0.5222
35,0.5649
36,0.5236
37,0.4961
38,0.4946
39,0.5236
40,0.6076
41,0.6222
42,0.6129
43,0.6049
44,0.583
45,0.5579
46,0.5494
47,0.5408
48,0.5236
49,0.4698
50,0.3584
51,0.2997
52,0.3279
53,0.2764
54,0.2777
55,0.3252
56,0.3768
57,0.3472
58,0.2932
59,0.2614
60,0.357
61,0.4654
62,0.5294
63,0.5663
64,0.6222
65,0.6392
66,0.6366
67,0.634
68,0.6262
69,0.6519
70,0.6607
71,0.6379
72,0.5677
73,0.4654
74,0.3444
75,0.332
76,0.3998
77,0.3955
78,0.3157
79,0.2419
80,0.2919
81,0.3184
82,0.2455
83,0.2198
84,0.2626
85,0.3117
86,0.332
87,0.3103
88,0.3711
89,0.4303
90,0.4551
91,0.4288
92,0.3811
93,0.3472
94,0.3361
95,0.313
96,0.2626
97,0.1925
98,0.1493
99,0.1177
100,0.1107
101,0.1084
102,0.1054
103,0.093
104,0.0746
105,0.0498
106,0.0599
107,0.0765
108,0.0835
109,0.1084
110,0.1403
111,0.1862
112,0.2313
113,0.2256
114,0.2153
115,0.2165
116,0.2372
117,0.2713
118,0.309
119,0.3444
120,0.3472
121,0.3197
122,0.2564
123,0.1585
124,0.0809
125,0.0493
126,0.0448
127,0.0468
128,0.0468
129,0.0189
130,0.0086
131,0.0406
132,0.0644
133,0.0616
134,0.0392
135,0.0193
136,0.0174
137,0.0303
138,0.0463
139,0.061
140,0.098
141,0.1633
142,0.2198
143,0.2455
144,0.2663
145,0.2841
146,0.2945
147,0.309
148,0.3063
149,0.2932
150,0.2893
151,0.2945
152,0.2503
153,0.1614
154,0.0862
155,0.0727
156,0.0803
157,0.0771
158,0.0809
159,0.1193
160,0.1883
161,0.2713
162,0.3252
